movie_title,hero_gender,hero_gender2,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
Powder,, ,27-Oct-95,Drama,PG-13,"$30,833,914 ","$59,727,216 "
Toy Story,, ,22-Nov-95,Adventure,G,"$191,796,233 ","$370,409,631 "
Father of the Bride Part II,, ,8-Dec-95,Comedy,PG,"$76,578,911 ","$147,658,438 "
Nixon,, ,20-Dec-95,Drama,R,"$13,668,249 ","$26,302,005 "
Tom and Huck,, ,22-Dec-95,Adventure,PG,"$23,837,227 ","$45,911,517 "
Mr. Holland's Opus,, ,29-Dec-95,Drama,PG,"$82,582,604 ","$157,508,868 "
White Squall,, ,2-Feb-96,Adventure,PG-13,"$10,229,300 ","$19,509,726 "
Muppet Treasure Island,, ,16-Feb-96,Adventure,G,"$34,327,391 ","$65,470,567 "
Mr. Wrong,, ,16-Feb-96,Romantic Comedy,PG-13,"$12,805,071 ","$24,422,334 "
Before and After,, ,23-Feb-96,Drama,PG-13,"$8,642,118 ","$16,482,589 "
Up Close & Personal,, ,1-Mar-96,Drama,PG-13,"$51,045,801 ","$97,356,578 "
Homeward Bound II: Lost in San Franc…,, ,8-Mar-96,Adventure,G,"$32,709,423 ","$62,384,706 "
Two Much,, ,15-Mar-96,Romantic Comedy,PG-13,"$1,078,555 ","$2,057,055 "
Un indien dans la ville,, ,22-Mar-96,Comedy,PG,"$1,029,731 ","$1,963,937 "
James and the Giant Peach,, ,12-Apr-96,Adventure,PG,"$28,921,264 ","$55,159,783 "
Celtic Pride,, ,19-Apr-96,Comedy,PG-13,"$9,240,378 ","$17,623,615 "
Last Dance,, ,3-May-96,Drama,R,"$5,857,534 ","$11,171,714 "
Boys,, ,10-May-96,Drama,PG-13,"$21,930,418 ","$41,826,566 "
Spy Hard,, ,24-May-96,Comedy,PG-13,"$26,936,265 ","$51,373,912 "
Eddie,, ,31-May-96,Comedy,PG-13,"$31,369,401 ","$59,828,966 "
The Rock,, ,7-Jun-96,Action,R,"$134,069,511 ","$255,702,705 "
The Hunchback of Notre Dame,, ,21-Jun-96,Adventure,G,"$100,138,851 ","$190,988,799 "
Phenomenon,, ,5-Jul-96,Drama,PG,"$104,636,382 ","$199,559,799 "
Kazaam,, ,17-Jul-96,Comedy,PG,"$18,880,508 ","$36,009,655 "
Jack,, ,9-Aug-96,Drama,PG-13,"$58,617,334 ","$111,792,852 "
First Kid,, ,30-Aug-96,Comedy,PG,"$26,465,920 ","$50,465,108 "
